State,FIPS,TotalCost
Louisiana,22,46000263.500000015
Oklahoma,40,37161019.35
Mississippi,,
Arkansas,05,24257575.4
Arizona,04,51884914.95
Texas,48,124278621.60000008
Missouri,29,34971544.69656463
Kentucky,21,31112673.250000007
Georgia,13,52677212.100000024
Alabama,01,35867129.400000006
Florida,12,133325755.86096877
South Dakota,46,5260363.227273544
Nevada,32,19526972.85
Idaho,16,5981830.800000001
Ohio,39,32412095.33850184
Virginia,51,31954022.10000001
Wyoming,,
Tennessee,47,18635589.0
Delaware,10,-2369461.5
Michigan,26,-5705954.099999994
West Virginia,54,4109459.3999999985
Wisconsin,55,-19836543.099999994
Indiana,18,30768283.350000016
South Carolina,45,19239091.550000004
Pennsylvania,42,-61671730.899999976
Oregon,41,-9570680.0
Colorado,08,-1577790.4755943716
Montana,30,-327088.0999999996
New Mexico,35,-4582628.050000001
North Carolina,37,-993216.4499999881
Kansas,20,5218871.250000004
California,06,-313399520.0
Illinois,17,-5685855.75
Maryland,24,-16020062.045895413
Iowa,19,-7207749.049999997
Nebraska,,
Connecticut,09,-24919691.72209803
Washington,53,5233789.0
Alaska,02,-3206392.9838964064
New York,36,-152265230.20597953
Hawaii,15,2344789.5410154015
North Dakota,38,-1488997.749999999
New Jersey,34,-55086531.98152251
Utah,49,5007664.150000002
New Hampshire,,
Minnesota,27,-6030253.853247911
Vermont,50,-2232117.159978873
Rhode Island,44,-3868848.8000000007
Maine,,
Massachusetts,25,-12139404.299999997
